AdeptLocks50,Skyrim.esm:0C3680
LItemPotionResistMagicBest,Skyrim.esm:065A43
LItemPotionResistShock,Skyrim.esm:03A1BB
LItemPotionResistShockBest,Skyrim.esm:065A44
LItemPotionRestoreHealth,Skyrim.esm:03A16A
LItemPotionRestoreHealthBest,Skyrim.esm:065A45
LItemPotionRestoreHMS,Skyrim.esm:03A1BE
LItemPotionRestoreHMSBest,Skyrim.esm:065A60
LItemPotionRestoreMagicka,Skyrim.esm:03A171
LItemPotionRestoreMagickaBest,Skyrim.esm:065A46
LItemPotionRestoreStamina,Skyrim.esm:03A173
LItemPotionRestoreStaminaBest,Skyrim.esm:065A47
LItemPotionWaterbreathing,Skyrim.esm:074A30
LItemPotionWaterbreathingBest,Skyrim.esm:074A31
LItemReligiousSymbols,Skyrim.esm:08777C
LItemRobesAlteration,Skyrim.esm:10F9AF
LItemRobesCollegeAlteration,Skyrim.esm:016E1E
LItemRobesCollegeConjuration,Skyrim.esm:016E1F
LItemRobesCollegeDestruction,Skyrim.esm:016E1D
LItemRobesCollegeIllusion,Skyrim.esm:016E20
LItemRobesCollegeMagickaHood,Skyrim.esm:016E23
LItemRobesCollegeMagickaRegen,Skyrim.esm:016E22
LItemRobesCollegeRestoration,Skyrim.esm:016E21
LItemRobesConjuration,Skyrim.esm:10F9B0
LItemRobesDestruction,Skyrim.esm:10F9B1
LItemRobesIllusion,Skyrim.esm:10F9B2
LItemRobesRestoration,Skyrim.esm:10F9B3
LItemScroll00Skill,Skyrim.esm:0A44C7
LItemScroll100Skill,Skyrim.esm:0A44CB
LItemScroll25Skill,Skyrim.esm:0A44C8
LItemScroll50Skill,Skyrim.esm:0A44C9
LItemScroll75Skill,Skyrim.esm:0A44CA
LItemScrolls,Skyrim.esm:0A44CC
LItemSilverHandWeapon,Skyrim.esm:017113
LItemSkooma75,Skyrim.esm:10962C
LItemSoldierImperialArmor,Skyrim.esm:01713B
LItemSoldierImperialArmorSet01,Skyrim.esm:017134
LItemSoldierImperialArmorSet02,Skyrim.esm:017139
LItemSoldierImperialArmorSet03,Skyrim.esm:01713A
LItemSoldierImperialBoots,Skyrim.esm:08A38B
LItemSoldierImperialBootsBest,Skyrim.esm:017064
LItemSoldierImperialCuirass,Skyrim.esm:08A38D
LItemSoldierImperialCuirassBest,Skyrim.esm:017063
LItemSoldierImperialGauntlets,Skyrim.esm:08A38C
LItemSoldierImperialGauntletsBest,Skyrim.esm:017068
LItemSoldierImperialHelmet,Skyrim.esm:08A38E
LItemSoldierImperialHelmetBest,Skyrim.esm:01706A
LItemSoldierSonsArmor,Skyrim.esm:017158
LItemSoldierSonsArmorSet01,Skyrim.esm:017154
LItemSoldierSonsArmorSet02,Skyrim.esm:017155
LItemSoldierSonsArmorSet03,Skyrim.esm:017156
LItemSoldierSonsArmorSet04,Skyrim.esm:017157
LItemSoldierSonsBattleaxe,Skyrim.esm:01715A
LItemSoldierSonsBoots,Skyrim.esm:08A391
LItemSoldierSonsBootsBest,Skyrim.esm:017150
LItemSoldierSonsCuirass,Skyrim.esm:08A392
LItemSoldierSonsCuirassBest,Skyrim.esm:017151
LItemSoldierSonsGauntlets,Skyrim.esm:08A38F
LItemSoldierSonsGauntletsBest,Skyrim.esm:017153
LItemSoldierSonsGreatsword,Skyrim.esm:01715B
LItemSoldierSonsGuardWeapon1H,Skyrim.esm:046054
LItemSoldierSonsHelmet,Skyrim.esm:08A390
LItemSoldierSonsHelmetBest,Skyrim.esm:017152
LItemSoldierSonsMace,Skyrim.esm:046053
LItemSoldierSonsShield,Skyrim.esm:045FE9
LItemSoldierSonsSword,Skyrim.esm:046051
LItemSoldierSonsWaraxe,Skyrim.esm:046052
LItemSoldierSonsWarhammer,Skyrim.esm:017159
LItemSoldierSonsWeapon1H,Skyrim.esm:0EA146
LItemSoldierSonsWeapon2H,Skyrim.esm:01715C
LItemSoldierSonsWeaponAny,Skyrim.esm:046057
LItemSoldierSonsWeaponShield,Skyrim.esm:046055
LItemSonsSymbol10,Skyrim.esm:10FAFA
LItemSoulGemEmptyNoBlack,Skyrim.esm:10DDBB
LItemSoulGemEmptySpecial,Skyrim.esm:0638B3
LItemSoulGemEmptyTown,Skyrim.esm:06852A
LItemSoulGemFullMagicTrap,Skyrim.esm:0E606D
LItemSoulGemFullNoBlack,Skyrim.esm:10DDB9
LItemSoulGemFullSpecial,Skyrim.esm:0638B4
LItemSoulGemFullTown,Skyrim.esm:06852B
LItemSoulGemRandom,Skyrim.esm:0638B7
LItemSoulGemRandomNoBlack,Skyrim.esm:10DDBA
LItemSoulGemRandomTown,Skyrim.esm:06852C
LItemSpecialLoot10,Skyrim.esm:10B2C0
LItemSpecialLoot100,Skyrim.esm:1031D0
LItemSpellTomes00AllAlteration,Skyrim.esm:10F64E
LItemSpellTomes00AllConjuration,Skyrim.esm:10F64F
LItemSpellTomes00AllDestruction,Skyrim.esm:10F650
LItemSpellTomes00AllIllusion,Skyrim.esm:10F651
LItemSpellTomes00AllRestoration,Skyrim.esm:10F652
LItemSpellTomes00AllSpells,Skyrim.esm:0A297A
LItemSpellTomes00Alteration,Skyrim.esm:09E2B0
LItemSpellTomes00Conjuration,Skyrim.esm:09E2B1
LItemSpellTomes00Destruction,Skyrim.esm:09E2B2
LItemSpellTomes00Illusion,Skyrim.esm:09E2B3
LItemSpellTomes00MixedSkills,Skyrim.esm:09E2B5
LItemSpellTomes00Restoration,Skyrim.esm:09E2B4
LItemSpellTomes00Spells,Skyrim.esm:10FD8C
LItemSpellTomes100Alteration,Skyrim.esm:0DD645
LItemSpellTomes100Conjuration,Skyrim.esm:0A273A
LItemSpellTomes100Destruction,Skyrim.esm:0A273B
LItemSpellTomes100Illusion,Skyrim.esm:0A273C
LItemSpellTOmes100MixedSkills,Skyrim.esm:0A2740
LItemSpellTomes100Restoration,Skyrim.esm:0DD648
LItemSpellTomes25AllAlteration,Skyrim.esm:0A297D
LItemSpellTomes25AllConjuration,Skyrim.esm:0A297E
LItemSpellTomes25AllDestruction,Skyrim.esm:0A297F
LItemSpellTomes25AllIllusion,Skyrim.esm:0A2980
LItemSpellTomes25AllRestoration,Skyrim.esm:0A2981
LItemSpellTomes25AllSpells,Skyrim.esm:10523F
LItemSpellTomes25Alteration,Skyrim.esm:0A272A
LItemSpellTomes25Conjuration,Skyrim.esm:0A272B
LItemSpellTomes25Destruction,Skyrim.esm:0A272C
LItemSpellTomes25Illusion,Skyrim.esm:0A272D
LItemSpellTomes25MixedSkills,Skyrim.esm:0A273D
LItemSpellTomes25Restoration,Skyrim.esm:0A272E
LItemSpellTomes25Spells,Skyrim.esm:10FD8D
LItemSpellTomes50AllAlteration,Skyrim.esm:0A298C
LItemSpellTomes50AllConjuration,Skyrim.esm:0A298D
LitemSpellTomes50AllDestruction,Skyrim.esm:0A298E
LItemSpellTomes50AllIllusion,Skyrim.esm:0A298F
LItemSpellTOmes50AllRestoration,Skyrim.esm:0A2990
LItemSpellTomes50Alteration,Skyrim.esm:0A2735
LItemSpellTomes50Conjuration,Skyrim.esm:0A2730
LitemSpellTomes50Destruction,Skyrim.esm:0A2731
LItemSpellTomes50Illusion,Skyrim.esm:0A2732
LItemSpellTomes50MixedSkills,Skyrim.esm:0A273E
LItemSpellTOmes50Restoration,Skyrim.esm:0A2734
LItemSpellTomes50Spells,Skyrim.esm:10FCF0
LItemSpellTomes75AllAlteration,Skyrim.esm:0A2982
LItemSpellTomes75AllConjuration,Skyrim.esm:0A2983
LItemSpellTomes75AllDestruction,Skyrim.esm:0A2984
LItemSpellTomes75AllIllusion,Skyrim.esm:0A2985
LItemSpellTomes75AllRestoration,Skyrim.esm:0A2986
LItemSpellTomes75Alteration,Skyrim.esm:0A272F
LItemSpellTomes75Conjuration,Skyrim.esm:0A2736
LItemSpellTomes75Destruction,Skyrim.esm:0A2737
LItemSpellTomes75Illusion,Skyrim.esm:0A2738
LItemSpellTomes75MixedSkills,Skyrim.esm:0A273F
LItemSpellTomes75Restoration,Skyrim.esm:0A2739
LItemSpellTomes75Spells,Skyrim.esm:10FCF1
LItemSpellTomesSpecial,Skyrim.esm:10FCEF
LItemSpellVendorScrolls75,Skyrim.esm:105240
LItemSpellVendorScrolls75COPY0000,Skyrim.esm:10E4F4
LItemSpellVendorSoulGem75,Skyrim.esm:105241
LItemSpellVendorStaffsAll75,Skyrim.esm:105242
LItemStaff00,Skyrim.esm:035319
LItemStaff00NPC,Skyrim.esm:10FA6D
LItemStaff25,Skyrim.esm:03531A
LItemStaff25NPC,Skyrim.esm:10FAB1
LItemStaff50,Skyrim.esm:03531B
LItemStaff50NPC,Skyrim.esm:10FAB2
LItemStaff75,Skyrim.esm:03531E
LItemStaff75NPC,Skyrim.esm:10FAB3
LItemStaffAlteration25,Skyrim.esm:0351D2
LItemStaffAlteration75,Skyrim.esm:0351D9
LItemStaffAlteration75NPC,Skyrim.esm:0E0FD8
LItemStaffChainLightning50,Skyrim.esm:0E0FE3
LItemStaffConjuration00,Skyrim.esm:0351DA
LItemStaffConjuration00NPC,Skyrim.esm:0E0FDB
LItemStaffConjuration25,Skyrim.esm:0351DB
LItemStaffConjuration25NPC,Skyrim.esm:0E0FD9
LItemStaffConjuration50,Skyrim.esm:0351DC
LItemStaffConjuration50NPC,Skyrim.esm:0E0FDA
LItemStaffConjuration75,Skyrim.esm:0351DD
LItemStaffConjuration75NPC,Skyrim.esm:0E0FDC
LItemStaffDestruction00,Skyrim.esm:10E4F5
LItemStaffDestruction25,Skyrim.esm:03521E
LItemStaffDestruction25NPC50,Skyrim.esm:0E0FD7
LItemStaffDestruction50,Skyrim.esm:03525C
LItemStaffDestruction50NPC50,Skyrim.esm:0E0FDD
LItemStaffDestruction75,Skyrim.esm:0EDDD2
LItemStaffFireball50,Skyrim.esm:0E0FE1
LItemStaffFirebolt50,Skyrim.esm:0E0FDE
LItemStaffIceSpike50,Skyrim.esm:0E0FDF
LItemStaffIceStorm50,Skyrim.esm:0E0FE2
LItemStaffIllusion00,Skyrim.esm:0352AC
LItemStaffIllusion25,Skyrim.esm:0352F7
LItemStaffIllusion50,Skyrim.esm:035311
LItemStaffIllusion75,Skyrim.esm:035312
LItemStaffLightningBolt50,Skyrim.esm:0E0FE0
LItemStaffRestoration25,Skyrim.esm:035313
LItemStaffRestoration50,Skyrim.esm:035314
LItemStaffRestoration75,Skyrim.esm:035316
LItemStaffsAll,Skyrim.esm:035320
LItemSummersetShadowsArmor,Skyrim.esm:10853E
LItemSummersetShadowsArmorHelmet,Skyrim.esm:10854C
LItemSummersetShadowsWeapon1H,Skyrim.esm:10854E
LItemTGAmuletofArticulation,Skyrim.esm:0F6912
LItemThalmorArmorNoHelmetAll,Skyrim.esm:07D97A
LItemThalmorArmorWithHelmetBest,Skyrim.esm:07D979
LItemThalmorDagger,Skyrim.esm:07D986
LItemThalmorShield,Skyrim.esm:0F95F0
LItemThalmorWeapon1H,Skyrim.esm:07D97D
LItemThalmorWeaponBow,Skyrim.esm:07D985
LItemTorch05,Skyrim.esm:000E60
LItemTorch50,Skyrim.esm:10FAF9
LItemVampireAttire,Skyrim.esm:10C6ED
LItemVampireBoots,Skyrim.esm:02E1EA
LItemVampireBossBoots,Skyrim.esm:02E1E3
LItemVampireBossCuirass,Skyrim.esm:02E1E4
LItemVampireBossDagger,Skyrim.esm:02E1EF
LItemVampireBossGauntlets,Skyrim.esm:02E1E8
LItemVampireBossSword,Skyrim.esm:02E1E5
LItemVampireBossWarAxe,Skyrim.esm:02E1E6
LItemVampireBossWeapon1H,Skyrim.esm:02E1E7
LItemVampireClothes,Skyrim.esm:032FE9
LItemVampireCuirass,Skyrim.esm:02DF95
LItemVampireDagger,Skyrim.esm:02E1EE
LItemVampireGauntlets50,Skyrim.esm:02DF96
LItemVampireRobes,Skyrim.esm:106D0E
LItemVampireSword,Skyrim.esm:02DF97
LItemVampireWarAxe,Skyrim.esm:02DF98
LItemVampireWeapon1H,Skyrim.esm:02DF99
LItemVampireWeaponArrows,Skyrim.esm:02DF9F
LItemVampireWeaponBase,Skyrim.esm:10962B
LItemVampireWeaponBow,Skyrim.esm:02DF9E
LItemVendorSpellTomes00All50,Skyrim.esm:0FF7E0
LItemVigilantBooks,Skyrim.esm:10BFF1
LItemVigilantHeavyBoots,Skyrim.esm:10BFF2
LItemVigilantHeavyGauntlets50,Skyrim.esm:10BFF3
LItemVigilantHood,Skyrim.esm:10C460
LItemVigilantRobes,Skyrim.esm:10C45F
LItemWarlockDagger,Skyrim.esm:044CD6
LITemWarlockRobes,Skyrim.esm:105EF9
LItemWarlockRobesAlteration,Skyrim.esm:105EEB
LItemWarlockRobesConjuration,Skyrim.esm:105EEC
LItemWarlockRobesDestruction,Skyrim.esm:105EED
LItemWarlockRobesEnchanting,Skyrim.esm:105EEE
LItemWarlockRobesIllusion,Skyrim.esm:105EF7
LItemWarlockRobesMagickaRate,Skyrim.esm:105EEF
LItemWarlockRobesRestoration,Skyrim.esm:105EF5
LItemWeapon1HIronAndSteelOnly,Skyrim.esm:10EB2F
LItemWeaponAllSpecial,Skyrim.esm:1031B5
LItemWeaponAny1H,Skyrim.esm:0165BA
LItemWeaponAny1HSpecial,Skyrim.esm:1031B3
LItemWeaponAny1HTown,Skyrim.esm:0165C5
LItemWeaponAny2H,Skyrim.esm:0165B9
LItemWeaponAny2HSpecial,Skyrim.esm:1031B4
LItemWeaponAny2HTown,Skyrim.esm:0165D8
LItemWeaponBattleAxe,Skyrim.esm:01657C
LItemWeaponBattleAxeBest,Skyrim.esm:05719B
LItemWeaponBattleAxeBlacksmith,Skyrim.esm:09BC3E
LItemWeaponBattleAxeSpecial,Skyrim.esm:1031AC
LItemWeaponBattleAxeTown,Skyrim.esm:0165BF
LItemWeaponBlacksmithBow75,Skyrim.esm:0FF7E1
LItemWeaponBow,Skyrim.esm:017024
LItemWeaponBowBest,Skyrim.esm:05719E
LItemWeaponBowBlacksmith,Skyrim.esm:09BC3F
LItemWeaponBowLowLevelItems,Skyrim.esm:10EB33
LItemWeaponBowSpecial,Skyrim.esm:1031AD
LItemWeaponBowTown,Skyrim.esm:01703D
LItemWeaponDagger,Skyrim.esm:017178
LItemWeaponDaggerBest,Skyrim.esm:0571A1
LItemWeaponDaggerBlacksmith,Skyrim.esm:09BC40
LItemWeaponDaggerBoss,Skyrim.esm:08CA38
LItemWeaponDaggerForsworn,Skyrim.esm:10FABF
LItemWeaponDaggerSpecial,Skyrim.esm:1031AE
LItemWeaponDaggerTown,Skyrim.esm:017177
LItemWeaponDwarvenBattleAxe,Skyrim.esm:0F4C84
LItemWeaponDwarvenBow,Skyrim.esm:0F4C85
LItemWeaponDwarvenDagger,Skyrim.esm:0F4C86
LItemWeaponDwarvenGreatSword,Skyrim.esm:0F4C87
LItemWeaponDwarvenMace,Skyrim.esm:0F4C88
LItemWeaponDwarvenSword,Skyrim.esm:0F4C89
LItemWeaponDwarvenWarAxe,Skyrim.esm:0F4C8B
LItemWeaponDwarvenWarhammer,Skyrim.esm:0F4C8A
LItemWeaponGreatSword,Skyrim.esm:01657A
LItemWeaponGreatSwordBest,Skyrim.esm:0571A4
LItemWeaponGreatSwordBlacksmith,Skyrim.esm:09BC41
LItemWeaponGreatSwordNotOrcish,Dragonborn.esm:03324B
LItemWeaponGreatSwordSpecial,Skyrim.esm:1031AF
LItemWeaponGreatSwordTown,Skyrim.esm:0165C0
LItemWeaponMace,Skyrim.esm:016577
LItemWeaponMaceBest,Skyrim.esm:0571A7
LItemWeaponMaceBlacksmith,Skyrim.esm:09BC42
LItemWeaponMaceSpecial,Skyrim.esm:1031AB
LItemWeaponMaceTown,Skyrim.esm:0165BB
LItemWeaponMissileLowLevelItems,Skyrim.esm:10EB34
LItemWeaponNightingaleBow,Skyrim.esm:0F652F
LItemWeaponNightingaleSword,Skyrim.esm:0F652E
LItemWeaponSailor,Skyrim.esm:09786F
LItemWeaponSword,Skyrim.esm:016578
LItemWeaponSwordBest,Skyrim.esm:0571AA
LItemWeaponSwordBlacksmith,Skyrim.esm:09BC43
LItemWeaponSwordSpecial,Skyrim.esm:1031B0
LItemWeaponSwordTown,Skyrim.esm:0165BC
LItemWeaponWarAxe,Skyrim.esm:016579
LItemWeaponWarAxeBest,Skyrim.esm:0571AB
LItemWeaponWarAxeBlacksmith,Skyrim.esm:09BC44
LItemWeaponWarAxeSpecial,Skyrim.esm:1031B1
LItemWeaponWarAxeTown,Skyrim.esm:0165BE
LItemWeaponWarhammer,Skyrim.esm:0165B8
LItemWeaponWarhammerBest,Skyrim.esm:0571AC
LItemWeaponWarhammerBlacksmith,Skyrim.esm:09BC45
LItemWeaponWarhammerSpecial,Skyrim.esm:1031B2
LItemWeaponWarhammerTown,Skyrim.esm:0165C1
LItemWEBattlemageBoots,Skyrim.esm:1034EC
LItemWEBattlemageCuirass,Skyrim.esm:1034EB
LItemWEBattlemageGauntlets50,Skyrim.esm:1034ED
LItemWEBattlemageHelmet50,Skyrim.esm:1034EE
LItemWerewolfBossBattleaxe,Skyrim.esm:0A197D
LItemWerewolfBossGreatsword,Skyrim.esm:0A197E
LItemwerewolfBossWarhammer,Skyrim.esm:0A197F
LItemWerewolfHideGauntlets50,Skyrim.esm:0A196E
LItemWerewolfScaledGauntlets50,Skyrim.esm:0A1971
LItemWerewolfWeapon02,Skyrim.esm:0A0930
LItemWerewolfWeapon03,Skyrim.esm:0A0932
LItemWerewolfWeapon04,Skyrim.esm:0A0931
LItemWerewolfWeapon05,Skyrim.esm:0A0933
LItemWerewolfWeapon06,Skyrim.esm:0A0934
LItemWerewolfWeapon2HBoss,Skyrim.esm:0A197C
LItemWESpellswordBoots,Skyrim.esm:1034F8
LItemWESpellswordCuirass,Skyrim.esm:1034F7
LItemWESpellswordGauntlets50,Skyrim.esm:1034F9
LItemWESpellswordHelmet50,Skyrim.esm:1034FA
LItemWEThiefBoots,Skyrim.esm:10350D
LItemWEThiefCuirass,Skyrim.esm:10350C
LItemWEThiefGauntlets50,Skyrim.esm:10350F
LItemWEThiefHood,Skyrim.esm:103519
LLI_Vendor_SpecialItems,Update.esm:002F94
Lockpick,Skyrim.esm:00000A
Locksmith,Skyrim.esm:058208
LongBow,Skyrim.esm:03B562
LootBanditArmor100,Skyrim.esm:0B420B
LootBanditArmor25,Skyrim.esm:06883A
LootBanditArmor50,Skyrim.esm:087781
LootBanditArrows100,Skyrim.esm:0B420C
LootBanditArrows15,Skyrim.esm:08777F
LootBanditChestBossBase,Skyrim.esm:0B420A
LootBanditChestBossMagicItem100,Skyrim.esm:000E88
LootBanditChestBossMagicItem25,Skyrim.esm:0348FD
LootBanditChestPotions100,Skyrim.esm:0B420D
LootBanditChestPotions15,Skyrim.esm:03A5A6
LootBanditEnchArmor100,Skyrim.esm:0348F7
LootBanditEnchArmor15,Skyrim.esm:0B5564
LootBanditEnchArmor25,Skyrim.esm:0B5565
LootBanditEnchWeapons100,Skyrim.esm:0348F5
LootBanditEnchWeapons15,Skyrim.esm:0B5566
LootBanditEnchWeapons25,Skyrim.esm:0B5567
LootBanditGems10,Skyrim.esm:087780
LootBanditGems100,Skyrim.esm:0B420E
LootBanditGems25,Skyrim.esm:08778C
LootBanditGold,Skyrim.esm:037C27
LootBanditGoldBoss,Skyrim.esm:03DED1
LootBanditIngots05,Skyrim.esm:10E0E3
LootBanditIngots10,Skyrim.esm:08777D
LootBanditIngots100,Skyrim.esm:0B420F
LootBanditIngredients10,Skyrim.esm:10E0E6
LootBanditJewelry05,Skyrim.esm:10E0E8
LootBanditJewelry10,Skyrim.esm:08777E
LootBanditJewelry100,Skyrim.esm:0B4210
LootBanditJewelry25,Skyrim.esm:08778D
LootBanditLockpick25,Skyrim.esm:08FFF4
LootBanditRandom,Skyrim.esm:10E0DD
LootBanditRandomWizard,Skyrim.esm:10E0E5
LootBanditScrolls10,Skyrim.esm:0A44CD
LootBanditSoulGems10,Skyrim.esm:068835
LootBanditSoulGems100,Skyrim.esm:0B4211
LootBanditSoulGems20,Skyrim.esm:088511
LootBanditSpellTomes10,Skyrim.esm:10E0E7
LootBanditWeapon100,Skyrim.esm:0B4212
LootBanditWeapon15,Skyrim.esm:068838
LootBanditWeapon50,Skyrim.esm:087782
LootBookRandom05,Skyrim.esm:10E0E4
LootBurntCorpse,Skyrim.esm:10FCFE
LootCitizenChildToysList,Skyrim.esm:1046E7
LootCitizenChildToysList25,Skyrim.esm:1046E8
LootCitizenChildToysList75,Skyrim.esm:1046E9
LootCitizenDrinkList75,Skyrim.esm:1046D4
LootCitizenNecklaceList,Skyrim.esm:1046DD
LootCitizenNecklaceList25,Skyrim.esm:1046DF
LootCitizenNecklaceList75,Skyrim.esm:1046DE
LootCitizenPocketsChild,Skyrim.esm:1046E4
LootCitizenPocketsCommon,Skyrim.esm:1046D1
LootCitizenPocketsPoor,Skyrim.esm:1046D2
LootCitizenPocketsRich,Skyrim.esm:1046D3
LootCitizenRingList,Skyrim.esm:1046DC
LootCitizenRingList25,Skyrim.esm:1046E0
LootCitizenRingList75,Skyrim.esm:1046E1
LootCWImperialsArmor100,Skyrim.esm:071641
LootCWImperialsArmor25,Skyrim.esm:07151F
LootCWImperialsArrows25,Skyrim.esm:0714A3
LootCWImperialsChestBossBase,Skyrim.esm:071623
LootCWImperialsChestPotions100,Skyrim.esm:0714AB
LootCWImperialsChestPotions25,Skyrim.esm:071537
LootCWImperialsEnchArmor100,Skyrim.esm:07163E
LootCWImperialsEnchArmor15,Skyrim.esm:0714B3
LootCWImperialsEnchWeapons100,Skyrim.esm:071536
LootCWImperialsEnchWeapons15,Skyrim.esm:0714B6
LootCWImperialsGold,Skyrim.esm:0714EE
LootCWImperialsGoldBoss,Skyrim.esm:07161B
LootCWImperialsIngots10,Skyrim.esm:07152A
LootCWImperialsIngots100,Skyrim.esm:0715AC
LootCWImperialsJewelry100,Skyrim.esm:0715DB
LootCWImperialsJewelry25,Skyrim.esm:0714FD
LootCWImperialsScrolls10,Skyrim.esm:071519
LootCWImperialsScrolls100,Skyrim.esm:0715EE
LootCWImperialsSoulGems25,Skyrim.esm:07151E
LootCWImperialsWeapon100,Skyrim.esm:07161A
LootCWImperialsWeapon15,Skyrim.esm:071520
LootCWSonsArmor100,Skyrim.esm:071644
LootCWSonsArmor25,Skyrim.esm:071521
LootCWSonsArrows25,Skyrim.esm:071522
LootCWSonsChestBossBase,Skyrim.esm:071646
LootCWSonsChestPotions100,Skyrim.esm:071523
LootCWSonsChestPotions25,Skyrim.esm:071551
LootCWSonsEnchArmor100,Skyrim.esm:071640
LootCWSonsEnchArmor15,Skyrim.esm:071524
LootCWSonsEnchWeapons100,Skyrim.esm:071555
LootCWSonsEnchWeapons15,Skyrim.esm:071525
LootCWSonsGold,Skyrim.esm:071526
LootCWSonsGoldBoss,Skyrim.esm:07161C
LootCWSonsIngots10,Skyrim.esm:07152B
LootCWSonsIngots100,Skyrim.esm:0715AA
LootCWSonsJewelry100,Skyrim.esm:0715C5
LootCWSonsJewelry25,Skyrim.esm:071527
LootCWSonsScrolls10,Skyrim.esm:071528
LootCWSonsScrolls100,Skyrim.esm:071606
LootCWSonsWeapon100,Skyrim.esm:071617
LootCWSonsWeapon15,Skyrim.esm:071529
LootDragonArmor25,Skyrim.esm:0F77F3
LootDragonGems25,Skyrim.esm:0F77F7
LootDragonGold,Skyrim.esm:0F77F2
LootDragonWeapon25,Skyrim.esm:0F77F6
LootDraugr1HWeapon100,Skyrim.esm:1019D0
LootDraugrArmor10,Skyrim.esm:0C2963
LootDraugrArmor100,Skyrim.esm:0B4202
LootDraugrArmor25,Skyrim.esm:06883B
LootDraugrArmor50,Skyrim.esm:088514
LootDraugrArrows100,Skyrim.esm:0B4203
LootDraugrArrows15,Skyrim.esm:08850E
LootDraugrChestBossBase,Skyrim.esm:0B4209
LootDraugrChestBossMagicItem25,Skyrim.esm:034901
LootDraugrChestPotions05,Skyrim.esm:10FAC9
LootDraugrChestPotions100,Skyrim.esm:04F78B
LootDraugrChestPotions15,Skyrim.esm:0C2965
LootDraugrChestPotions25,Skyrim.esm:03AC20
LootDraugrEnchArmor100,Skyrim.esm:034902
LootDraugrEnchArmor15,Skyrim.esm:0B5561
LootDraugrEnchArmor25,Skyrim.esm:0B5562
LootDraugrEnchWeapons100,Skyrim.esm:01ED1B
LootDraugrEnchWeapons15,Skyrim.esm:0B555E
LootDraugrEnchWeapons25,Skyrim.esm:0B5563
LootDraugrGems100,Skyrim.esm:0B4204
LootDraugrGems15,Skyrim.esm:08850F
LootDraugrGold,Skyrim.esm:088512
LootDraugrGoldBoss01,Skyrim.esm:088513
LootDraugrIngots05,Skyrim.esm:10FAC5
LootDraugrJewelry05,Skyrim.esm:10FAC6
LootDraugrJewelry100,Skyrim.esm:0B4205
LootDraugrJewelry15,Skyrim.esm:088510
LootDraugrLockpick10,Skyrim.esm:08FFF5
LootDraugrRandom,Skyrim.esm:10FAC4
LootDraugrRandomMageBonus,Skyrim.esm:10FACB
LootDraugrScrolls10,Skyrim.esm:0A44CE
LootDraugrScrolls100,Skyrim.esm:0B4206
LootDraugrSoulGems05,Skyrim.esm:10FAC8
LootDraugrSoulGems10,Skyrim.esm:0C2964
LootDraugrSoulGems100,Skyrim.esm:0B4207
LootDraugrSoulGems20,Skyrim.esm:068836
LootDraugrSpellTomes05,Skyrim.esm:10FACA
LootDraugrWeapon100,Skyrim.esm:0B4208
LootDraugrWeapon15,Skyrim.esm:068837
LootDraugrWeapon25,Skyrim.esm:088515
LootDrinkList25,Skyrim.esm:10E0DE
LootDwarvenArmor100,Skyrim.esm:070C0B
LootDwarvenArmor15,Skyrim.esm:070C0C
LootDwarvenArmor25,Skyrim.esm:10A286
LootDwarvenArrows10,Skyrim.esm:10E0DC
LootDwarvenArrows100,Skyrim.esm:070C0D
LootDwarvenArrowsBest,Skyrim.esm:10FAF6
LootDwarvenCenturionSoulGem,Skyrim.esm:103AD5
LootDwarvenChestBossBase,Skyrim.esm:070C1F
LootDwarvenChestPotions15,Skyrim.esm:070C0F
LootDwarvenClutter25,Skyrim.esm:101DA9
LootDwarvenClutter75,Skyrim.esm:101DA8
LootDwarvenEnchArmor100,Skyrim.esm:070C10
LootDwarvenEnchArmor20,Skyrim.esm:070C11
LootDwarvenEnchWeapons100,Skyrim.esm:070C12
LootDwarvenEnchWeapons20,Skyrim.esm:070C13
LootDwarvenGems10,Skyrim.esm:10E0DA
LootDwarvenGems100,Skyrim.esm:070C14
LootDwarvenGems25,Skyrim.esm:070C15
LootDwarvenGoldBoss,Skyrim.esm:101DAA
LootDwarvenIngots10,Skyrim.esm:070C17
LootDwarvenIngots100,Skyrim.esm:070C16
LootDwarvenJewelry100,Skyrim.esm:070C18
LootDwarvenJewelry25,Skyrim.esm:070C19
LootDwarvenJewelryBoxBase,Skyrim.esm:070C24
LootDwarvenLockpick15,Skyrim.esm:08FFF6
LootDwarvenOre10,Skyrim.esm:10DDBD
LootDwarvenScrap10,Skyrim.esm:10F9D4
LootDwarvenScrap25,Skyrim.esm:070C22
LootDwarvenScrapSphere,Skyrim.esm:10E0D9
LootDwarvenScrapSpider,Skyrim.esm:10E0D8
LootDwarvenScrolls10,Skyrim.esm:070C1A
LootDwarvenScrolls100,Skyrim.esm:070C25
LootDwarvenSoulGems100,Skyrim.esm:070C1B
LootDwarvenSoulGems15,Skyrim.esm:070C1C
LootDwarvenSphereSoulGem50,Skyrim.esm:103AD4
LootDwarvenSpiderSoulGem50,Skyrim.esm:103AD3
LootDwarvenWeapon100,Skyrim.esm:070C1D
LootDwarvenWeapon15,Skyrim.esm:070C1E
LootDwavenChestPotions100,Skyrim.esm:070C0E
LootEnchNecromancerRobes25,Skyrim.esm:105253
LootEnchRobes10,Skyrim.esm:10F9B5
